CurrencyPrimary,AssetClass,Symbol,Description,Conid,UnderlyingConid,UnderlyingSymbol,Multiplier,Strike,Expiry,Put/Call,TradeID,Date/Time,TradeDate,Buy/Sell,Quantity,Price,Amount,Proceeds,NetCash,Commission,BrokerExecutionCommission,BrokerClearingCommission,ThirdPartyExecutionCommission,ThirdPartyClearingCommission,ThirdPartyRegulatoryCommission,OtherCommission,OrderType
USD,OPT,META  250207C00690000,META 07FEB25 690 C,751410466,107113386,META,100,690,20250207,C,1419790141,20250203;102751,20250203,BUY,1,13.05,1305,-1305,-1305.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00690000,META 07FEB25 690 C,751410466,107113386,META,100,690,20250207,C,1419833830,20250203;104618,20250203,SELL,-1,14.35,-1435,1435,1433.442067,-1.557933,-1,-0.025,-0.46,0,-0.072933,0,MKT
USD,OPT,META  250207C00695000,META 07FEB25 695 C,752208486,107113386,META,100,695,20250207,C,1419845607,20250203;105140,20250203,BUY,1,11.94,1194,-1194,-1195.54525,-1.54525,-1,-0.025,-0.49,0,-0.03025,0,MKT
USD,OPT,META  250207C00695000,META 07FEB25 695 C,752208486,107113386,META,100,695,20250207,C,1420470979,20250204;095808,20250204,BUY,1,11.14,1114,-1114,-1115.54525,-1.54525,-1,-0.025,-0.49,0,-0.03025,0,MKT
USD,OPT,META  250207C00695000,META 07FEB25 695 C,752208486,107113386,META,100,695,20250207,C,1419907896,20250203;112312,20250203,SELL,-1,13.3,-1330,1330,1329.214986,-0.785014,-1,-0.025,0.31,0,-0.070014,0,MKT
USD,OPT,META  250207C00695000,META 07FEB25 695 C,752208486,107113386,META,100,695,20250207,C,1420517522,20250204;101956,20250204,SELL,-1,12.6,-1260,1260,1258.456932,-1.543068,-1,-0.025,-0.45,0,-0.068068,0,MKT
USD,OPT,META  250207C00697500,META 07FEB25 697.5 C,757276216,107113386,META,100,697.5,20250207,C,1419909762,20250203;112440,20250203,BUY,1,12.45,1245,-1245,-1246.04525,-1.04525,-1,-0.025,0.01,0,-0.03025,0,MKT
USD,OPT,META  250207C00697500,META 07FEB25 697.5 C,757276216,107113386,META,100,697.5,20250207,C,1419916798,20250203;112814,20250203,SELL,-1,12,-1200,1200,1199.3886,-0.6114,-1,-0.025,0.48,0,-0.0664,0,MKT
USD,OPT,META  250207C00700000,META 07FEB25 700 C,751410512,107113386,META,100,700,20250207,C,1420533107,20250204;102956,20250204,BUY,1,10.59,1059,-1059,-1060.54525,-1.54525,-1,-0.025,-0.49,0,-0.03025,0,MKT
USD,OPT,META  250207C00700000,META 07FEB25 700 C,751410512,107113386,META,100,700,20250207,C,1421957787,20250206;123352,20250206,SELL,-1,12.85,-1285,1285,1283.456237,-1.543763,-1,-0.025,-0.45,0,-0.068763,0,MKT
USD,OPT,META  250207C00702500,META 07FEB25 702.5 C,757276258,107113386,META,100,702.5,20250207,C,1421282290,20250205;115007,20250205,BUY,1,8.5,850,-850,-851.54525,-1.54525,-1,-0.025,-0.49,0,-0.03025,0,MKT
USD,OPT,META  250207C00702500,META 07FEB25 702.5 C,757276258,107113386,META,100,702.5,20250207,C,1421290258,20250205;115425,20250205,BUY,1,8.5,850,-850,-850.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00702500,META 07FEB25 702.5 C,757276258,107113386,META,100,702.5,20250207,C,1421285608,20250205;115212,20250205,SELL,-1,8.9,-890,890,889.397218,-0.602782,-1,-0.025,0.48,0,-0.057782,0,MKT
USD,OPT,META  250207C00702500,META 07FEB25 702.5 C,757276258,107113386,META,100,702.5,20250207,C,1421957890,20250206;123345,20250206,SELL,-1,10.8,-1080,1080,1079.391936,-0.608064,-1,-0.025,0.48,0,-0.063064,0,MKT
USD,OPT,META  250207C00710000,META 07FEB25 710 C,751410562,107113386,META,100,710,20250207,C,1421151365,20250205;102029,20250205,BUY,1,8.65,865,-865,-866.05525,-1.05525,-1,-0.025,0,0,-0.03025,0,MKT
USD,OPT,META  250207C00710000,META 07FEB25 710 C,751410562,107113386,META,100,710,20250207,C,1422039974,20250206;141711,20250206,BUY,1,5.3,530,-530,-530.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00710000,META 07FEB25 710 C,751410562,107113386,META,100,710,20250207,C,1422077114,20250206;144642,20250206,BUY,1,3.7,370,-370,-370.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00710000,META 07FEB25 710 C,751410562,107113386,META,100,710,20250207,C,1421199455,20250205;104854,20250205,SELL,-1,7.35,-735,735,733.921527,-1.078473,-1,-0.025,0,0,-0.053473,0,MKT
USD,OPT,META  250207C00710000,META 07FEB25 710 C,751410562,107113386,META,100,710,20250207,C,1422040766,20250206;141812,20250206,SELL,-1,5.15,-515,515,513.527643,-1.472357,-1,-0.025,-0.4,0,-0.047357,0,MKT
USD,OPT,META  250207C00710000,META 07FEB25 710 C,751410562,107113386,META,100,710,20250207,C,1422080683,20250206;144935,20250206,SELL,-1,3.9,-390,390,388.941118,-1.058882,-1,-0.025,0.01,0,-0.043882,0,LMT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1421103343,20250205;100124,20250205,BUY,1,9.75,975,-975,-976.04525,-1.04525,-1,-0.025,0.01,0,-0.03025,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1421986297,20250206;130822,20250206,BUY,1,6.05,605,-605,-605.74525,-0.74525,-1,-0.025,0.31,0,-0.03025,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1421996255,20250206;132240,20250206,BUY,1,5.45,545,-545,-545.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1421996257,20250206;132247,20250206,BUY,1,5.54,554,-554,-554.85525,-0.85525,-1,-0.025,0.2,0,-0.03025,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1422076580,20250206;144644,20250206,BUY,1,2.79,279,-279,-279.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1422078290,20250206;144837,20250206,BUY,1,2.97,297,-297,-297.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1422087074,20250206;145611,20250206,BUY,1,3.15,315,-315,-315.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1422087151,20250206;145634,20250206,BUY,1,3.15,315,-315,-315.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1422101330,20250206;151430,20250206,BUY,1,3.25,325,-325,-325.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1422101338,20250206;151436,20250206,BUY,1,3.25,325,-325,-325.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1421111809,20250205;100421,20250205,SELL,-1,7.75,-775,775,774.230415,-0.769585,-1,-0.025,0.31,0,-0.054585,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1421988746,20250206;131028,20250206,SELL,-1,5.35,-535,535,534.237087,-0.762913,-1,-0.025,0.31,0,-0.047913,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1422005436,20250206;133229,20250206,SELL,-2,4.9,-980,980,978.576676,-1.423324,-1.3,-0.05,0.02,0,-0.093324,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1422082725,20250206;145115,20250206,SELL,-2,2.86,-572,572,569.6680184,-2.3319816,-1.3,-0.05,-0.9,0,-0.0819816,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1422090000,20250206;145941,20250206,SELL,-2,2.81,-562,562,559.6682964,-2.3317036,-1.3,-0.05,-0.9,0,-0.0817036,0,MKT
USD,OPT,META  250207C00712500,META 07FEB25 712.5 C,757276360,107113386,META,100,712.5,20250207,C,1422141370,20250206;155526,20250206,SELL,-2,4.7,-940,940,938.577788,-1.422212,-1.3,-0.05,0.02,0,-0.092212,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1421074466,20250205;094949,20250205,BUY,1,9.5,950,-950,-951.54525,-1.54525,-1,-0.025,-0.49,0,-0.03025,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1422292678,20250207;093010,20250207,BUY,1,5.49,549,-549,-549.85525,-0.85525,-1,-0.025,0.2,0,-0.03025,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1422303796,20250207;093059,20250207,BUY,1,8.14,814,-814,-815.54525,-1.54525,-1,-0.025,-0.49,0,-0.03025,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1422444146,20250207;100507,20250207,BUY,1,4.75,475,-475,-476.05525,-1.05525,-1,-0.025,0,0,-0.03025,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1422467003,20250207;101212,20250207,BUY,1,4.15,415,-415,-415.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1422471590,20250207;101315,20250207,BUY,1,3.45,345,-345,-345.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1421101290,20250205;100106,20250205,SELL,-1,7.6,-760,760,758.470832,-1.529168,-1,-0.025,-0.45,0,-0.054168,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1422363459,20250207;094320,20250207,SELL,-1,7.5,-750,750,748.92111,-1.07889,-1,-0.025,0,0,-0.05389,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1422363481,20250207;094320,20250207,SELL,-1,7.5,-750,750,749.62111,-0.37889,-0.3,-0.025,0,0,-0.05389,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1422447704,20250207;100619,20250207,SELL,-1,5.5,-550,550,549.40667,-0.59333,-1,-0.025,0.48,0,-0.04833,0,MKT
USD,OPT,META  250207C00715000,META 07FEB25 715 C,755341588,107113386,META,100,715,20250207,C,1422484112,20250207;101627,20250207,SELL,-2,4.35,-870,870,867.599734,-2.400266,-1.3,-0.05,-0.96,0,-0.090266,0,MKT
USD,OPT,META  250207C00717500,META 07FEB25 717.5 C,757276431,107113386,META,100,717.5,20250207,C,1422421793,20250207;100029,20250207,BUY,1,5.9,590,-590,-590.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00717500,META 07FEB25 717.5 C,757276431,107113386,META,100,717.5,20250207,C,1422421797,20250207;100029,20250207,BUY,1,5.9,590,-590,-590.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00717500,META 07FEB25 717.5 C,757276431,107113386,META,100,717.5,20250207,C,1422503565,20250207;102441,20250207,BUY,1,3.4,340,-340,-341.51525,-1.51525,-1,-0.025,-0.46,0,-0.03025,0,MKT
USD,OPT,META  250207C00717500,META 07FEB25 717.5 C,757276431,107113386,META,100,717.5,20250207,C,1422503607,20250207;102448,20250207,BUY,1,3.4,340,-340,-340.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00717500,META 07FEB25 717.5 C,757276431,107113386,META,100,717.5,20250207,C,1422550661,20250207;104702,20250207,BUY,1,3.55,355,-355,-355.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00717500,META 07FEB25 717.5 C,757276431,107113386,META,100,717.5,20250207,C,1422550705,20250207;104706,20250207,BUY,1,3.6,360,-360,-361.05525,-1.05525,-1,-0.025,0,0,-0.03025,0,MKT
USD,OPT,META  250207C00717500,META 07FEB25 717.5 C,757276431,107113386,META,100,717.5,20250207,C,1422550902,20250207;104727,20250207,BUY,1,3.25,325,-325,-325.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00717500,META 07FEB25 717.5 C,757276431,107113386,META,100,717.5,20250207,C,1422432325,20250207;100225,20250207,SELL,-2,4.75,-950,950,949.51751,-0.48249,-1.3,-0.05,0.96,0,-0.09249,0,MKT
USD,OPT,META  250207C00717500,META 07FEB25 717.5 C,757276431,107113386,META,100,717.5,20250207,C,1422520461,20250207;103211,20250207,SELL,-2,2.06,-412,412,410.5924664,-1.4075336,-1.3,-0.05,0.02,0,-0.0775336,0,MKT
USD,OPT,META  250207C00717500,META 07FEB25 717.5 C,757276431,107113386,META,100,717.5,20250207,C,1422584657,20250207;110211,20250207,SELL,-3,1.21,-363,363,362.3057886,-0.6942114,-1.95,-0.075,1.44,0,-0.1092114,0,MKT
USD,OPT,META  250207C00720000,META 07FEB25 720 C,751410602,107113386,META,100,720,20250207,C,1422364239,20250207;094404,20250207,BUY,1,4.5,450,-450,-450.57525,-0.57525,-1,-0.025,0.48,0,-0.03025,0,MKT
USD,OPT,META  250207C00720000,META 07FEB25 720 C,751410602,107113386,META,100,720,20250207,C,1422367486,20250207;094508,20250207,BUY,1,5.5,550,-550,-551.50525,-1.50525,-1,-0.025,-0.45,0,-0.03025,0,MKT
USD,OPT,META  250207C00720000,META 07FEB25 720 C,751410602,107113386,META,100,720,20250207,C,1422411852,20250207;095708,20250207,SELL,-2,4.65,-930,930,928.578066,-1.421934,-1.3,-0.05,0.02,0,-0.091934,0,MKT
USD,OPT,META  250207P00687500,META 07FEB25 687.5 P,757280137,107113386,META,100,687.5,20250207,P,1419736865,20250203;100820,20250203,BUY,1,12.7,1270,-1270,-1271.48525,-1.48525,-1,-0.025,-0.43,0,-0.03025,0,MKT
USD,OPT,META  250207P00687500,META 07FEB25 687.5 P,757280137,107113386,META,100,687.5,20250207,P,1419789113,20250203;102651,20250203,SELL,-1,10.05,-1005,1005,1003.914021,-1.085979,-1,-0.025,0,0,-0.060979,0,MKT
USD,OPT,META  250207P00695000,META 07FEB25 695 P,752209314,107113386,META,100,695,20250207,P,1419839570,20250203;104819,20250203,BUY,1,11.6,1160,-1160,-1161.05525,-1.05525,-1,-0.025,0,0,-0.03025,0,MKT
USD,OPT,META  250207P00695000,META 07FEB25 695 P,752209314,107113386,META,100,695,20250207,P,1419843351,20250203;105100,20250203,SELL,-1,11.25,-1125,1125,1123.910685,-1.089315,-1,-0.025,0,0,-0.064315,0,MKT
USD,OPT,META  250207P00697500,META 07FEB25 697.5 P,757280298,107113386,META,100,697.5,20250207,P,1419916608,20250203;112836,20250203,BUY,1,11.4,1140,-1140,-1140.74525,-0.74525,-1,-0.025,0.31,0,-0.03025,0,MKT
